site_id,longitude,latitude,mean_power,distancia_m,profundidad_m,optimo
1032018,-12.0,29.5,40.30775321,141245.47007430124,-1691.0,0
3098038,-5.417,43.583,28.49305315,3453.2007423956643,-73.0,0
3192048,-1.5,44.0,38.05680684,16247.873304815586,-53.0,0
1026072,-13.5,43.0,73.69130235,468559.7452905535,-5288.0,0
4061022,-13.417,29.083,19.49366428,3903.161569946859,-618.0,1
1525100005,-1.89952,36.96989,4.997726527,620.862649993012,0.0,0
1032052,-12.0,38.0,55.33852923,296741.4013290345,-5087.0,0
5029023,-7.083,37.167,4.896056444,5525.1060771074135,-13.0,0
2084103,0.0,38.583,4.729659742,5922.048595774092,-32767.0,0
1025017,-13.75,29.25,36.69036297,20000.0409843498,-1382.0,1
1038124,-10.5,56.0,101.017025,291384.7511862854,-2273.0,0
2136116,4.333,39.667,15.04849194,22704.23518206249,-536.0,1
6060012,-5.5,35.95,11.28269972,6460.239083979783,-908.0,1
3055038,-7.208,43.583,19.50904171,2351.7394015905684,-21.0,0
1038054,-10.5,38.5,54.21031665,116074.42725921872,-4763.0,0
813024032,2.102,39.555,12.91713419,27864.990468118525,-135.0,0
4030008,-16.0,27.917,18.40384831,19913.35766204721,-1023.0,1
2094106,0.833,38.833,9.010327258,43344.86573280862,-674.0,0
1038058,-10.5,39.5,56.58722193,122742.65409295035,-3918.0,0
4024004,-16.5,27.583,20.48263967,55682.02836130078,-3497.0,0
1030046,-12.5,36.5,52.06833774,396531.50951226056,-3619.0,0
2132096,4.0,38.0,15.09708177,152498.61921182816,-2860.0,0
1040052,-10.0,38.0,52.43300473,104181.73855057746,-3150.0,0
1032078,-12.0,44.5,77.62887565,372817.134185827,-4977.0,0
3000048,-9.5,44.0,72.1253757,124121.8069161604,-3841.0,0
5032001,-6.833,35.333,27.12399122,75412.84454120536,-650.0,0
2125118,3.417,39.833,11.2902865,8823.607828694434,-45.0,0
1072077,-2.0,44.25,45.74383898,77616.62128445462,-150.0,0
4040026,-15.167,29.417,37.20932274,119944.1981625443,-3596.0,0
1712100044,2.16997,41.35866,3.627126666,2151.053639239051,25.0,0
2024077,-5.0,36.417,5.380223629,5468.626730392312,-33.0,0
4018022,-17.0,29.083,36.92456536,89688.42448418883,-3862.0,0
2104114,1.667,39.5,10.31293952,56825.33266996013,-1448.0,0
4052016,-14.167,28.583,32.49399802,11787.21421905107,-777.0,1
2104100,1.667,38.333,10.33191845,46502.73074886975,-1362.0,0
4009017,-17.75,28.667,8.044758049,1175.3025213541705,-541.0,0
2121120,3.083,40.0,12.00557569,8275.905893948297,-248.0,0
3084039,-6.0,43.625,33.88580126,5619.643931477332,-50.0,0
